jurisdiction,state,type,priority
Atchison County, Kansas,County,Yes
Barber County, Kansas,County,No
Barton County, Kansas,County,No
Bourbon County, Kansas,County,No
Brown County, Kansas,County,Yes
Butler County, Kansas,County,No
Chase County, Kansas,County,No
Chautauqua County, Kansas,County,No
Cherokee County, Kansas,County,No
Cheyenne County, Kansas,County,Yes
Clark County, Kansas,County,Yes
Clay County, Kansas,County,No
Cloud County, Kansas,County,No
Coffey County, Kansas,County,No
Comanche County, Kansas,County,Yes
Cowley County, Kansas,County,No
Crawford County, Kansas,County,Yes
Decatur County, Kansas,County,Yes
Dickinson County, Kansas,County,No
Doniphan County, Kansas,County,No
Douglas County, Kansas,County,Yes
Edwards County, Kansas,County,No
Elk County, Kansas,County,No
Ellis County, Kansas,County,No
Ellsworth County, Kansas,County,No
Finney County, Kansas,County,Yes
Ford County, Kansas,County,No
Franklin County, Kansas,County,No
Geary County, Kansas,County,Yes
Gove County, Kansas,County,No
Graham County, Kansas,County,No
Grant County, Kansas,County,No
Gray County, Kansas,County,Yes
Greeley County, Kansas,County,Yes
Greenwood County, Kansas,County,No
Hamilton County, Kansas,County,Yes
Harper County, Kansas,County,No
Harvey County, Kansas,County,No
Haskell County, Kansas,County,No
Hodgeman County, Kansas,County,No
Jackson County, Kansas,County,No
Jefferson County, Kansas,County,Yes
Jewell County, Kansas,County,No
Johnson County, Kansas,County,Yes
Kearny County, Kansas,County,Yes
Kingman County, Kansas,County,No
Kiowa County, Kansas,County,Yes
Labette County, Kansas,County,No
Lane County, Kansas,County,No
Leavenworth County, Kansas,County,No
Lincoln County, Kansas,County,Yes
Linn County, Kansas,County,No
Logan County, Kansas,County,Yes
Lyon County, Kansas,County,No
McPherson County, Kansas,County,No
Marion County, Kansas,County,No
Marshall County, Kansas,County,No
Meade County, Kansas,County,No
Miami County, Kansas,County,Yes
Mitchell County, Kansas,County,No
Montgomery County, Kansas,County,No
Morris County, Kansas,County,Yes
Morton County, Kansas,County,Yes
Nemaha County, Kansas,County,No
Neosho County, Kansas,County,No
Ness County, Kansas,County,No
Norton County, Kansas,County,No
Osage County, Kansas,County,No
Osborne County, Kansas,County,Yes
Ottawa County, Kansas,County,No
Pawnee County, Kansas,County,No
Phillips County, Kansas,County,No
Pottawatomie County, Kansas,County,Yes
Pratt County, Kansas,County,Yes
Rawlins County, Kansas,County,Yes
Reno County, Kansas,County,No
Republic County, Kansas,County,No
Rice County, Kansas,County,No
Riley County, Kansas,County,Yes
Rooks County, Kansas,County,No
Rush County, Kansas,County,No
Russell County, Kansas,County,No
Saline County, Kansas,County,No
Scott County, Kansas,County,No
Sedgwick County, Kansas,County,No
Seward County, Kansas,County,No
Shawnee County, Kansas,County,No
Sheridan County, Kansas,County,No
Sherman County, Kansas,County,Yes
Smith County, Kansas,County,No
Stafford County, Kansas,County,Yes
Stanton County, Kansas,County,No
Stevens County, Kansas,County,Yes
Sumner County, Kansas,County,No
Thomas County, Kansas,County,Yes
Trego County, Kansas,County,No
Wabaunsee County, Kansas,County,Yes
Wallace County, Kansas,County,No
Washington County, Kansas,County,Yes
Wichita County, Kansas,County,Yes
Wilson County, Kansas,County,No
Woodson County, Kansas,County,Yes
Wyandotte County, Kansas,County,No
Adair County, Kentucky,County,No
Allen County, Kentucky,County,Yes
Anderson County, Kentucky,County,Yes
Ballard County, Kentucky,County,Yes
Barren County, Kentucky,County,Yes
Bath County, Kentucky,County,Yes
Bell County, Kentucky,County,No
Boone County, Kentucky,County,No
Bourbon County, Kentucky,County,Yes
Boyd County, Kentucky,County,Yes
Boyle County, Kentucky,County,Yes
Bracken County, Kentucky,County,No
Breathitt County, Kentucky,County,No
Breckinridge County, Kentucky,County,No
Bullitt County, Kentucky,County,No
Butler County, Kentucky,County,Yes
Caldwell County, Kentucky,County,Yes
Calloway County, Kentucky,County,Yes
Campbell County, Kentucky,County,No
Carlisle County, Kentucky,County,Yes
Carroll County, Kentucky,County,Yes
Carter County, Kentucky,County,No
Casey County, Kentucky,County,Yes
Christian County, Kentucky,County,No
Clark County, Kentucky,County,Yes
Clay County, Kentucky,County,No
Clinton County, Kentucky,County,No
Crittenden County, Kentucky,County,Yes
Cumberland County, Kentucky,County,No
Daviess County, Kentucky,County,Yes
Edmonson County, Kentucky,County,No
Elliott County, Kentucky,County,No
Estill County, Kentucky,County,No
Fayette County, Kentucky,County,Yes
Fleming County, Kentucky,County,No
Floyd County, Kentucky,County,No
Franklin County, Kentucky,County,Yes
Fulton County, Kentucky,County,No
Gallatin County, Kentucky,County,No
Garrard County, Kentucky,County,No
Grant County, Kentucky,County,No
Graves County, Kentucky,County,No
Grayson County, Kentucky,County,No
Green County, Kentucky,County,No
Greenup County, Kentucky,County,No
Hancock County, Kentucky,County,Yes
Hardin County, Kentucky,County,No
Harlan County, Kentucky,County,No
Harrison County, Kentucky,County,Yes
Hart County, Kentucky,County,No
Henderson County, Kentucky,County,No
Henry County, Kentucky,County,No
Hickman County, Kentucky,County,Yes
Hopkins County, Kentucky,County,No
Jackson County, Kentucky,County,No
Jefferson County, Kentucky,County,No
Jessamine County, Kentucky,County,No
Johnson County, Kentucky,County,No
Kenton County, Kentucky,County,No
Knott County, Kentucky,County,No
Knox County, Kentucky,County,No
Larue County, Kentucky,County,No
Laurel County, Kentucky,County,No
Lawrence County, Kentucky,County,No
Lee County, Kentucky,County,No
Leslie County, Kentucky,County,No
Letcher County, Kentucky,County,No
Lewis County, Kentucky,County,No
Lincoln County, Kentucky,County,No
Livingston County, Kentucky,County,No
Logan County, Kentucky,County,Yes
Lyon County, Kentucky,County,Yes
McCracken County, Kentucky,County,No
McCreary County, Kentucky,County,No
McLean County, Kentucky,County,Yes
Madison County, Kentucky,County,No
Magoffin County, Kentucky,County,No
Marion County, Kentucky,County,No
Marshall County, Kentucky,County,No
Martin County, Kentucky,County,Yes
Mason County, Kentucky,County,Yes
Meade County, Kentucky,County,No
Menifee County, Kentucky,County,No
Mercer County, Kentucky,County,Yes
Metcalfe County, Kentucky,County,No
Monroe County, Kentucky,County,No
Montgomery County, Kentucky,County,No
Morgan County, Kentucky,County,No
Muhlenberg County, Kentucky,County,No
Nelson County, Kentucky,County,No
Nicholas County, Kentucky,County,No
Ohio County, Kentucky,County,Yes
Oldham County, Kentucky,County,Yes
Owen County, Kentucky,County,Yes
Owsley County, Kentucky,County,Yes
Pendleton County, Kentucky,County,No
Perry County, Kentucky,County,No
Pike County, Kentucky,County,No
Powell County, Kentucky,County,No
Pulaski County, Kentucky,County,No
Robertson County, Kentucky,County,Yes
Rockcastle County, Kentucky,County,Yes
Rowan County, Kentucky,County,No
Russell County, Kentucky,County,No
Scott County, Kentucky,County,No
Shelby County, Kentucky,County,No
Simpson County, Kentucky,County,Yes
Spencer County, Kentucky,County,Yes
Taylor County, Kentucky,County,Yes
Todd County, Kentucky,County,No
Trigg County, Kentucky,County,Yes
Trimble County, Kentucky,County,No
Union County, Kentucky,County,Yes
Warren County, Kentucky,County,No
Washington County, Kentucky,County,Yes
Wayne County, Kentucky,County,No
Webster County, Kentucky,County,Yes
Whitley County, Kentucky,County,No
Wolfe County, Kentucky,County,No
Woodford County, Kentucky,County,No
Acadia Parish, Louisiana,County,No
Allen Parish, Louisiana,County,No
Ascension Parish, Louisiana,County,No
Assumption Parish, Louisiana,County,No
Avoyelles Parish, Louisiana,County,Yes
Beauregard Parish, Louisiana,County,No
Bienville Parish, Louisiana,County,No
Bossier Parish, Louisiana,County,Yes
Caddo Parish, Louisiana,County,Yes
Calcasieu Parish, Louisiana,County,No
Caldwell Parish, Louisiana,County,No
Cameron Parish, Louisiana,County,No
Catahoula Parish, Louisiana,County,No
Claiborne Parish, Louisiana,County,No
Concordia Parish, Louisiana,County,Yes
De Soto Parish, Louisiana,County,No
East Baton Rouge Parish, Louisiana,County,No
East Carroll Parish, Louisiana,County,Yes
East Feliciana Parish, Louisiana,County,No
Evangeline Parish, Louisiana,County,No
Franklin Parish, Louisiana,County,Yes
Grant Parish, Louisiana,County,Yes
Iberia Parish, Louisiana,County,No
Iberville Parish, Louisiana,County,Yes
Jackson Parish, Louisiana,County,No
Jefferson Parish, Louisiana,County,No
Jefferson Davis Parish, Louisiana,County,No
Lafayette Parish, Louisiana,County,No
Lafourche Parish, Louisiana,County,Yes
LaSalle Parish, Louisiana,County,Yes
Lincoln Parish, Louisiana,County,Yes
Livingston Parish, Louisiana,County,No
Madison Parish, Louisiana,County,No
Morehouse Parish, Louisiana,County,No
Natchitoches Parish, Louisiana,County,No
Orleans Parish, Louisiana,County,Yes
Ouachita Parish, Louisiana,County,Yes
Plaquemines Parish, Louisiana,County,Yes
Pointe Coupee Parish, Louisiana,County,No
Rapides Parish, Louisiana,County,No
Red River Parish, Louisiana,County,No
Richland Parish, Louisiana,County,No
Sabine Parish, Louisiana,County,No
St. Bernard Parish, Louisiana,County,No
St. Charles Parish, Louisiana,County,No
St. Helena Parish, Louisiana,County,No
St. James Parish, Louisiana,County,No
St. John the Baptist Parish, Louisiana,County,No
St. Landry Parish, Louisiana,County,No
St. Martin Parish, Louisiana,County,No
St. Mary Parish, Louisiana,County,No
St. Tammany Parish, Louisiana,County,Yes
Tangipahoa Parish, Louisiana,County,Yes
Tensas Parish, Louisiana,County,No
Terrebonne Parish, Louisiana,County,No
Union Parish, Louisiana,County,Yes
Vermilion Parish, Louisiana,County,No
Vernon Parish, Louisiana,County,No
Washington Parish, Louisiana,County,No
Webster Parish, Louisiana,County,No
West Baton Rouge Parish, Louisiana,County,Yes
West Carroll Parish, Louisiana,County,No
West Feliciana Parish, Louisiana,County,No
Winn Parish, Louisiana,County,No
Androscoggin County, Maine,County,No
Aroostook County, Maine,County,No
Cumberland County, Maine,County,No
Franklin County, Maine,County,Yes
Hancock County, Maine,County,No
Kennebec County, Maine,County,No
Knox County, Maine,County,No
Lincoln County, Maine,County,Yes
Oxford County, Maine,County,No
Penobscot County, Maine,County,No
Piscataquis County, Maine,County,No
Sagadahoc County, Maine,County,No
Somerset County, Maine,County,No
Waldo County, Maine,County,No
Washington County, Maine,County,No
York County, Maine,County,No
Allegany County, Maryland,County,Yes
Anne Arundel County, Maryland,County,Yes
Baltimore County, Maryland,County,No
Calvert County, Maryland,County,No
Caroline County, Maryland,County,No
Carroll County, Maryland,County,No
Cecil County, Maryland,County,No
Charles County, Maryland,County,No
Dorchester County, Maryland,County,No
Frederick County, Maryland,County,No
Garrett County, Maryland,County,No
Harford County, Maryland,County,No
Howard County, Maryland,County,Yes
Kent County, Maryland,County,No
Montgomery County, Maryland,County,Yes
Prince George's County, Maryland,County,Yes
Queen Anne's County, Maryland,County,Yes
St. Mary's County, Maryland,County,No
Somerset County, Maryland,County,No
Talbot County, Maryland,County,No
Washington County, Maryland,County,No
Wicomico County, Maryland,County,No
Worcester County, Maryland,County,Yes
Baltimore city, Maryland,County,No
Barnstable County, Massachusetts,County,Yes
Berkshire County, Massachusetts,County,Yes
Bristol County, Massachusetts,County,No
Dukes County, Massachusetts,County,Yes
Essex County, Massachusetts,County,No
Franklin County, Massachusetts,County,No
Hampden County, Massachusetts,County,No
Hampshire County, Massachusetts,County,Yes
Middlesex County, Massachusetts,County,Yes
Nantucket County, Massachusetts,County,Yes
Norfolk County, Massachusetts,County,Yes
Plymouth County, Massachusetts,County,Yes
Suffolk County, Massachusetts,County,Yes
Worcester County, Massachusetts,County,No
Alcona County, Michigan,County,No
Alger County, Michigan,County,Yes
Allegan County, Michigan,County,No
Alpena County, Michigan,County,No
Antrim County, Michigan,County,Yes
Arenac County, Michigan,County,No
Baraga County, Michigan,County,No
Barry County, Michigan,County,No
Bay County, Michigan,County,No
Benzie County, Michigan,County,Yes
Berrien County, Michigan,County,No
Branch County, Michigan,County,No
Calhoun County, Michigan,County,No
Cass County, Michigan,County,No
Charlevoix County, Michigan,County,No
Cheboygan County, Michigan,County,No
Chippewa County, Michigan,County,No
Clare County, Michigan,County,No
Clinton County, Michigan,County,No
Crawford County, Michigan,County,No
Delta County, Michigan,County,No
Dickinson County, Michigan,County,No
Eaton County, Michigan,County,No
Emmet County, Michigan,County,Yes
Genesee County, Michigan,County,No
Gladwin County, Michigan,County,No
Gogebic County, Michigan,County,No
Grand Traverse County, Michigan,County,No
Gratiot County, Michigan,County,No
Hillsdale County, Michigan,County,No
Houghton County, Michigan,County,Yes
Huron County, Michigan,County,No
Ingham County, Michigan,County,No
Ionia County, Michigan,County,No
Iosco County, Michigan,County,No
Iron County, Michigan,County,No
Isabella County, Michigan,County,Yes
Jackson County, Michigan,County,No
Kalamazoo County, Michigan,County,No
Kalkaska County, Michigan,County,No
Kent County, Michigan,County,No
Keweenaw County, Michigan,County,No
Lake County, Michigan,County,No
Lapeer County, Michigan,County,No
Leelanau County, Michigan,County,Yes
Lenawee County, Michigan,County,No
Livingston County, Michigan,County,No
Luce County, Michigan,County,No
Mackinac County, Michigan,County,Yes
Macomb County, Michigan,County,No
Manistee County, Michigan,County,No
Marquette County, Michigan,County,Yes
Mason County, Michigan,County,Yes
Mecosta County, Michigan,County,No
Menominee County, Michigan,County,No
Midland County, Michigan,County,No
Missaukee County, Michigan,County,No
Monroe County, Michigan,County,No
Montcalm County, Michigan,County,No
Montmorency County, Michigan,County,No
Muskegon County, Michigan,County,No
Newaygo County, Michigan,County,No
Oakland County, Michigan,County,Yes
Oceana County, Michigan,County,No
Ogemaw County, Michigan,County,No
Ontonagon County, Michigan,County,No
